Time,Memory Usage
0.0,123
.2,119
.4,120
.6,121
.8,128
1.0,135
1.2,142
1.4,149
1.6,157
1.8,164
2.0,171
2.2,179
2.4,186
2.6,193
2.8,201
3.0,208
3.2,215
3.4,222
3.6,230
3.8,236
4.0,238
4.2,240
4.4,240
4.6,240
4.8,240
5.0,240
5.2,240
5.4,240
5.6,240
5.8,240
6.0,242
6.2,245
6.4,248
6.6,250
6.8,253
7.0,256
7.2,259
7.4,262
7.6,261
7.8,262
8.0,262
8.2,262
8.4,265
8.6,267
8.8,270
9.0,273
9.2,276
9.4,276
9.6,279
9.8,282
10.0,284
10.2,285
10.4,287
10.6,288
10.8,288
11.0,288
11.2,291
11.4,292
11.6,292
11.8,293
12.0,294
12.2,294
12.4,295
12.6,297
12.8,300
13.0,303
13.2,306
13.4,307
13.6,307
13.8,307
14.0,307
14.2,307
14.4,307
14.6,309
14.8,312
15.0,314
15.2,316
15.4,319
15.6,321
15.8,323
16.0,323
16.2,323
16.4,323
16.6,323
16.8,323
17.0,326
17.2,327
17.4,327
17.6,327
17.8,327
18.0,327
18.2,327
18.4,329
18.6,329
18.8,330
19.0,332
19.2,333
19.4,333
19.6,334
19.8,334
20.0,334
20.2,334
20.4,334
20.6,337
20.8,340
21.0,341
21.2,343
21.4,344
21.6,344
21.8,344
22.0,344
22.2,344
22.4,346
22.6,349
22.8,352
23.0,352
23.2,352
23.4,352
23.6,351
23.8,354
24.0,357
24.2,360
24.4,363
24.6,365
24.8,365
25.0,365
25.2,366
25.4,369
25.6,371
25.8,375
26.0,376
26.2,376
26.4,376
26.6,377
26.8,380
27.0,269
27.2,269
27.4,269
27.6,269
27.8,269
28.0,269
28.2,269
28.4,269
28.6,267
28.8,290
29.0,290
29.2,290
29.4,291
29.6,290
29.8,290
30.0,290
30.2,291
30.4,291
30.6,305
30.8,306
31.0,309
31.2,314
31.4,320
31.6,326
31.8,331
32.0,337
32.2,343
32.4,348
32.6,354
32.8,359
33.0,365
33.2,371
33.4,376
33.6,382
33.8,387
34.0,393
34.2,399
34.4,424
34.6,454
34.8,488
35.0,522
35.2,556
35.4,589
35.6,623
35.8,656
36.0,690
36.2,723
36.4,756
36.6,778
36.8,792
37.0,813
37.2,834
37.4,855
37.6,876
37.8,897
38.0,919
38.2,939
38.4,960
38.6,982
